id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels
4716,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports,ADIDAS Unisex Response ST Analogue Black Watch
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Lotto Men Atlantica Black Sports Shoe
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,W Women Peach Kurta
14869,Men,Accessories,Wallets,Wallets,Black,Summer,2011,Casual,United Colors of Benetton Men Solid Black Wallets
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,John Miller Men Stripes Blue Shirts
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Puma Women Essential Skinny Black 3/4 Pant
44722,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012,Casual,Lotto Women Red & Orange Disco Holic Flip Flops
52475,Women,Apparel,Loungewear and Nightwear,Bath Robe,White,Winter,2015,NA,Red Rose White & Red Dot Print Bath Robe
8914,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men Future Cat Remix SF White Sports Shoes
55496,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017,Casual,Revlon ColorBurst Hot Pink Lip Gloss 10
36792,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Attivo Watch
40971,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2012,Casual,Buckaroo Men Brown Casual Shoes
59252,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Titan Men White Dial Automatic Watch NB9365SL01
54915,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012,Casual,Do u speak Cream Men T-shirt
57555,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017,NA,Lotus Herbals SPF-10 Tulip Love Lipstick 417
46427,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Timex Men Black Dial Watch
7700,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Jealous 21 Women's All Girls Dying Jealousy Pink Top
17043,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013,Casual,Gas Men Skate 003 Casual Shoe
35313,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings
44384,Women,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,Spinz Women Enchante Deo
12367,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Reid & Taylor Men White Shirt
36902,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Fossil Men Silver-Toned Dial Chronograph Watch FS4643
8542,Women,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Crocs Women Abf Single Flip Slippers
46282,Women,Apparel,Topwear,Tunics,Yellow,Summer,2012,Casual,109F Women Yellow Tunic
57760,Women,Personal Care,Skin Care,Face Wash and Cleanser,White,Spring,2017,NA,Lotus Herbals Tea Tree Face Wash
33017,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Mother Earth Women Striped Green Kurta
36101,Men,Accessories,Wallets,Wallets,Brown,Summer,2012,Casual,OTLS Men Josh Brown Wallet
57196,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,Elle Women Red Tunic
54713,Women,Apparel,Apparel Set,Kurta Sets,Cream,Fall,2012,Ethnic,Shree Women Cream-Coloured & Pink Printed Salwar Suit with Dupatta
48728,Women,Accessories,Jewellery,Earrings,Silver,Summer,2015,Casual,Lucera Women Silver Earrings
7753,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Fila Men's Victory Black Shoe
22767,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,BIBA Women Solid Green Kurta
17813,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Lee Cooper Men  Brown Casual Shoe
12139,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011,Ethnic,Aurelia Women Solid Purple Kurtas
25589,Women,Apparel,Apparel Set,Kurta Sets,Green,Fall,2011,Ethnic,Vishudh Women Green Churidar Kurta with Dupatta
29176,Boys,Apparel,Bottomwear,Shorts,Khaki,Summer,2012,Casual,United Colors of Benetton Boys Khaki Shorts
19525,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011,Casual,United Colors of Benetton Men Check Grey Sweater
50378,Women,Apparel,Bottomwear,Salwar and Dupatta,White,Summer,2012,Ethnic,Vishudh Women Red & White Salwar and Dupatta
44778,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012,Casual,Lotto Men Grey Skateboard Shoes
49067,Women,Accessories,Bags,Handbags,Olive,Summer,2012,Casual,Lino Perros Women Olive Handbag
14454,Women,Footwear,Shoes,Heels,Taupe,Summer,2012,Casual,Enroute Women Casual Taupe Casual Heels
5231,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Classic Polo Men's Cari Navy Polo T-shirt
6672,Women,Footwear,Shoes,Casual Shoes,White,Summer,2011,Casual,Nike Women Dunk Skinny White Red Shoe
4317,Unisex,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Tantra Kid's Unisex Kya Boss Red Kidswear
54189,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Jockey MC Men Red Pack of 2 Briefs 8003
48380,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012,Casual,French Connection Men Charcoal Trousers
28291,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Fastrack Men Black Sunglasses
3931,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Jealous 21 Women's Black Butterfly T-shirt
36732,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Spykar Women Liana Blue Jeans
11110,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Check White Shirts
55260,Women,Personal Care,Makeup,Kajal and Eyeliner,Green,Spring,2017,Casual,Lakme Forever Silk Jaded Mint Eye Liner
33416,Women,Accessories,Wallets,Wallets,Purple,Fall,2012,Casual,Baggit Women Purple Wallet
11574,Women,Apparel,Topwear,Kurtas,Grey,Summer,2011,Ethnic,W Women Printed Grey Kurtas
19719,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Casual,United Colors of Benetton Men Stripes Grey Shirt
16751,Women,Accessories,Bags,Clutches,Copper,Winter,2015,Casual,Spice Art Women Copper Leartherite Multi Clutch
21315,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Celine Dion Women Black Frame Sunglasses
55294,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017,Casual,Lakme Absolute Beigeshine Plump & Shine Lip Gloss
31970,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,Nike Men Lengo Black Sports Shoes
33885,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Citizen Men Steel Eco-Drive Watch
59466,Women,Accessories,Jewellery,Ring,Silver,Summer,2015,Casual,Lucera Silver Ring
9633,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Price catch Blue White Shirts
3103,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Probase Men's Wtf Blue T-Shirt
19148,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,United Colors of Benetton Men Navy Blue Polo Tshirt
43130,Women,Personal Care,Fragrance,Perfume and Body Mist,Purple,Spring,2017,Casual,David Beckham Women Signature Eau De Toilette 50 ml
26934,Women,Apparel,Dress,Dresses,Black,Summer,2012,Casual,Jealous 21 Women Black Dress
33876,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Citizen Men Black Dial Chronograph Watch
58524,Unisex,Accessories,Bags,Handbags,Black,Fall,2012,Casual,Wildcraft Unisex Black Rain Cover For Backpacks
49664,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,United Colors of Benetton Men Sunglass
16960,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Classic Eyewear Black Sunglasses
42876,Women,Accessories,Bags,Clutches,Black,Summer,2012,Casual,French Connection Women Black Clutch
3709,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Classic Polo Men's Purple Black Stripe T-shirt
22356,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,John Players Men Solid White Shirt
11948,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Ganuchi Men Casual Black Casual Shoes
57761,Women,Personal Care,Skin Care,Face Wash and Cleanser,Cream,Spring,2017,Casual,Lotus Herbals Tea Tree & Cinnamon Anti-Acne Oil Control Face Wash
43153,Men,Accessories,Watches,Watches,Brown,Summer,2017,Casual,Fastrack Men Brown Dial Watch NE1478SM02
54574,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurti
54110,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats
51462,Women,Apparel,Topwear,Tops,Brown,Summer,2012,Casual,Tonga Women Brown Top
46089,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Women White Galaxy Arriba Sports Shoes
40984,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Gini and Jony Boys United White T-shirt
3355,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Men's Need for speed Black T-shirt
24052,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Locomotive Men Printed Blue T-shirt
39987,Men,Footwear,Shoes,Casual Shoes,Blue,Spring,2013,Casual,Gas Men Europa Blue Shoes
21382,Men,Apparel,Bottomwear,Shorts,White,Fall,2011,Casual,Manchester United Men Solid White Shorts
36335,Men,Accessories,Socks,Socks,White,Summer,2016,Casual,Playboy Men White and Red Socks
55031,Women,Personal Care,Lips,Lipstick,Purple,Spring,2017,Casual,Lakme Absolute Matte Pure Glam Lipstick 201
25174,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Lino Perros Women Leatherette Brown Handbag
17279,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,U.S. Polo Assn. Men Printed Navy Blue Tshirt
40946,Girls,Apparel,Topwear,Tops,Navy Blue,Summer,2012,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top
41438,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Casual,Lee Cooper Men White Sports Shoes
42878,Women,Accessories,Bags,Clutches,Maroon,Summer,2012,Casual,NA
3397,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Green Handbag
55803,Women,Apparel,Loungewear and Nightwear,Night suits,Purple,Summer,2017,Casual,SDL by Sweet Dreams Women Purple Printed Night Suit S11-3127
56488,Women,Personal Care,Nails,Nail Polish,White,Spring,2017,Casual,Streetwear Barbie Pink Nail Polish 40
29929,Men,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Police Men Copper-Toned Dial Watch PL12895JS
43992,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Eau De Toilette Natural Spray
16969,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Puma Men Coupe Black Sandal
55000,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017,NA,Lakme Absolute Liplast Day Rose Lip Gloss
16367,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Peter England Men Check Blue Shirt
15724,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Nike Men Free Run+ 2 Shield Grey Sports Shoes
12733,Women,Accessories,Bags,Handbags,Pink,Fall,2011,Sports,Nike Women Pinkaland Pink Handbags
56027,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Brazil Nut Lipstick 024
28058,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016,Casual,Jockey ELANCE Men Pack Of 2 Grey Briefs 1010
3566,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's White Silver Running Shoe
21313,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Celine Dion Women Black Frame Sunglasses
8377,Men,Accessories,Bags,Backpacks,Navy Blue,Winter,2016,Casual,Fastrack Men Navy Blue Backpack
44589,Men,Accessories,Belts,Belts,Black,Summer,2012,Formal,Van Heusen Men Black and Brown Reversible Belt
48720,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013,Casual,Lucera Women Silver Earrings
15313,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,ADIDAS Men Aerostar White Sports Shoes
34400,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Myntra Men Planet Earth Black T-shirt
31172,Girls,Apparel,Topwear,Tops,Peach,Summer,2012,Casual,Gini and Jony Girls Peach Top
8941,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Reversible Bling Blue Shirts
54976,Women,Apparel,Dress,Dresses,Pink,Summer,2012,Casual,Femella Women Pink Dress
45031,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Watch
46486,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Timex Men Black Dial Chronograph Watch
48178,Women,Accessories,Bags,Handbags,Teal,Winter,2016,Casual,Fossil Women Teal Handbag
40315,Unisex,Footwear,Shoes,Sports Shoes,White,Summer,2012,Casual,ADIDAS Unisex White Shoes
10465,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Flying Machine Men Paisley Purple Tshirts
43564,Women,Accessories,Socks,Socks,Pink,Summer,2012,Casual,Puma Women Pack of 3 Socks
57164,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Elle Women Black T-shirt
40785,Men,Footwear,Flip Flops,Flip Flops,White,Summer,2012,Casual,Quiksilver Men White Flip Flops
15914,Men,Apparel,Topwear,Shirts,Grey,Fall,2011,Formal,Black Coffee Men Striped Grey Slim Fit Shirt
59663,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Printed Evening Wear Sari
11118,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Solid White Shirts
54188,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Jockey MC Men Blue Pack of 2 Briefs 8003
13213,Women,Footwear,Shoes,Sports Shoes,White,Spring,2012,Sports,ASICS Women Gel Cumulus Running White Sports Shoes
23472,Men,Accessories,Scarves,Scarves,Purple,Winter,2015,Casual,Lino Perros Men Purple Scarf
17647,Men,Footwear,Flip Flops,Flip Flops,Red,Spring,2013,Casual,Converse Men Red Flip Flops
32356,Men,Accessories,Watches,Watches,Beige,Winter,2016,Casual,Q&Q Men Beige Dial Watch
15746,Men,Footwear,Shoes,Sports Shoes,White,Spring,2013,Sports,Nike Men Ballista II White Sports Shoes
37416,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Murcia Women White Handbag
10805,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Wrangler Men Rider Solid Black Shirts
1836,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2010,Sports,Nike Air Visi Sleek Shoes
27359,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Tantra Men After The Fight Black T-shirt
45376,Women,Footwear,Shoes,Heels,Brown,Summer,2016,Casual,Cobblerz Women Brown Sandals
31693,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012,Formal,Ganuchi Men Brown Shoes
6534,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Women's Border Blue T-shirt
28578,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,ADIDAS Originals Men Black Dial Chronograph Watch ADH2637
50462,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Chromozome Men Blue & Green Briefs
4297,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Tantra Men's Jim Morrison Black T-shirt
14940,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Status Quo Men Solid Black Shorts
43871,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012,Casual,Puma Men White Driving Power Lo Shoes
4855,Unisex,Footwear,Shoes,Casual Shoes,Pink,Summer,2012,Casual,Newfeel Unisex Pink Grey Shoes
47419,Women,Accessories,Bags,Handbags,Black,Fall,2012,Casual,Baggit Women Black Handbag
6168,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Lee Men's Guns Cardinal T-shirt
31660,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black Shirt
43072,Unisex,Accessories,Headwear,Caps,Black,Summer,2012,Casual,Nike Unisex Black Cap
31452,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Sports,Nike Men Compression Grey T-shirt
14527,Men,Apparel,Topwear,Shirts,Brown,Fall,2011,Formal,Mark Taylor Men Light Brown & White Striped Shirt
46509,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Timex Men Black Dial Chronograph Watch
28576,Men,Accessories,Watches,Watches,Green,Winter,2016,Casual,ADIDAS Originals Men Green Dial Chronograph Watch ADH2619
15098,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011,Ethnic,Mother Earth Women Shilpi Fabric Collt Brown Kurtas
3048,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Tantra Men's Rupee White T-shirt
32685,Women,Accessories,Bags,Clutches,Gold,Fall,2012,Party,Rocia Women Gold Coloured Clutch
35692,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012,Casual,U.S. Polo Assn. Men White Shoes
25858,Unisex,Accessories,Bags,Laptop Bag,Grey,Winter,2015,Casual,American Tourister Unisex Grey Laptop Bag
25064,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set
12420,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Timberland Men Casual Black Casual Shoes
19494,Men,Accessories,Socks,Socks,White,Summer,2011,Sports,Puma Men Sports Pack of 3 Socks
55119,Women,Personal Care,Beauty Accessories,Beauty Accessory,Burgundy,Spring,2017,Casual,Lakme Dual Sharpener
9778,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,ADIDAS Men  White Polo Tshirts
25097,Men,Accessories,Wallets,Wallets,Black,Winter,2015,Casual,Lino Perros Men Leather Black Wallet
22246,Men,Footwear,Shoes,Casual Shoes,Green,Summer,2011,Casual,ID Men Green Casual Shoe
39468,Women,Apparel,Topwear,Kurtis,Pink,Summer,2012,Ethnic,Diva Women Pink Kurti
38788,Men,Footwear,Sandal,Sandals,Olive,Summer,2016,Casual,Woodland Men Olive Sandals
55516,Women,Personal Care,Hair,Hair Colour,Brown,Spring,2017,Casual,Revlon Top Speed 60 Natural Brown Ammonia-Free Hair Colour
9377,Unisex,Accessories,Socks,Socks,Brown,Fall,2011,Casual,Puma Unisex FTPA Brown Socks
7817,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Proline Men Purple Striped Polo T-shirt
31430,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Casual,HIghlander Men Grey Trousers
33367,Women,Accessories,Bags,Clutches,Black,Summer,2012,Casual,Baggit Women Hero Brush Black Clutch
57622,Men,Personal Care,Skin Care,Sunscreen,White,Spring,2017,NA,Lotus Herbals Safe Sun Sunscreen for Men
51348,Men,Accessories,Socks,Socks,Grey,Summer,2016,Casual,Raymond Men Grey & Black Socks
32870,Unisex,Accessories,Bags,Backpacks,Red,Summer,2015,Casual,Wildcraft Unisex Red & Grey Backpack
24544,Women,Apparel,Topwear,Tops,Red,Fall,2011,Ethnic,Mother Earth Women Red Printed Top
41785,Women,Apparel,Topwear,Tops,Purple,Summer,2012,Casual,Remanika Women Purple Top
38786,Men,Footwear,Sandal,Sandals,Brown,Winter,2015,Casual,Woodland Men Brown Sandals
19095,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011,Ethnic,Mother Earth Women Printed Orange Kurta
49381,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012,Casual,Vans Men Navy Blue Versa Casual Shoes
10312,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Esprit Women Spark Black White Silver Watches
1577,Unisex,Accessories,Headwear,Caps,Green,Fall,2010,Sports,Inesis  Slim Shady Cap
15036,Women,Apparel,Topwear,Sweaters,Blue,Fall,2011,Casual,ADIDAS Women Stripes Blue Sweaters
6938,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,s.Oliver Men's Denim Dstrct Red T-shirt
26684,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Puma Men Graphic Black & White Shoes
46553,Men,Accessories,Watches,Watches,Orange,Winter,2016,Casual,Timex Men Orange Dial Watch
28183,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016,Casual,Ray-Ban Men Aviator Gold Sunglasses
47429,Women,Accessories,Bags,Handbags,Purple,Summer,2012,Casual,Baggit Women Purple Bag
20983,Unisex,Accessories,Belts,Belts,Black,Winter,2016,Casual,Fastrack Unisex Leatherette Black Belt
4608,Unisex,Accessories,Bags,Backpacks,Red,Winter,2015,Casual,Wildcraft Wiki 4 Unisex Red Backpack
